Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
P1890_PCD_22022022-0	AAOPDG_00405	contig_1	75691	75996	+	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	HMM	101	91	89.01	75.31	81	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
P1890_PCD_22022022-0	AAOPDG_00410	contig_1	76007	77695	+	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	HMM	562	562	100.00	81.85	562	CAC69251.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
P1890_PCD_22022022-0	AAOPDG_11145	contig_11	89197	90375	-	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	392	396	95.71	67.97	384	WP_280147732.1	class C beta-lactamase	NF033085.1	class C beta-lactamase
P1890_PCD_22022022-0	AAOPDG_17825	contig_23	1164	1478	-	psi-GI	heat resistance protein PsiE-GI	plus	STRESS	HEAT	NA	NA	PARTIALP	104	165	58.18	98.96	96	APX31178.1	heat resistance protein PsiE-GI	NA	NA
P1890_PCD_22022022-0	AAOPDG_17830	contig_23	1475	3190	-	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTP	571	571	100.00	92.12	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA
P1890_PCD_22022022-0	AAOPDG_17835	contig_23	3194	3634	-	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100.00	94.52	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
P1890_PCD_22022022-0	AAOPDG_17845	contig_23	4849	5460	-	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100.00	94.58	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
P1890_PCD_22022022-0	AAOPDG_17850	contig_23	5550	6437	-	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100.00	94.58	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
P1890_PCD_22022022-0	AAOPDG_17855	contig_23	6540	7454	-	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100.00	97.04	304	APX31172.1	heat resistance protein YfdX1	NA	NA
P1890_PCD_22022022-0	AAOPDG_17860	contig_23	7477	7935	-	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	EXACTP	152	152	100.00	100.00	152	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
P1890_PCD_22022022-0	AAOPDG_17875	contig_23	11316	14165	-	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	BLASTP	949	949	100.00	95.36	949	ASF80763.1	heat shock survival AAA family ATPase ClpK	NF033606.1	heat shock survival AAA family ATPase ClpK
P1890_PCD_22022022-0	AAOPDG_09165	contig_8	174450	175250	+	aph(3')-II	APH(3')-II family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	HMM	266	267	95.51	61.96	255	WP_012479999.1	APH(3')-II family aminoglycoside O-phosphotransferase	NF032898.2	APH(3')-II family aminoglycoside O-phosphotransferase
