Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
P0990_NA_08082021-0	CHNJGF_06500	contig_2	509753	510097	-	aac(6')	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	HMM	114	153	70.59	66.67	108	WP_104467712.1	aminoglycoside 6'-N-acetyltransferase	NF043067.1	aminoglycoside 6'-N-acetyltransferase
P0990_NA_08082021-0	CHNJGF_09715	contig_3	356456	357607	+	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	383	396	95.20	69.82	381	WP_280147732.1	class C beta-lactamase	NF033085.1	class C beta-lactamase
P0990_NA_08082021-0	CHNJGF_13465	contig_4	365940	366437	-	psi-GI	heat resistance protein PsiE-GI	plus	STRESS	HEAT	NA	NA	BLASTP	165	165	100.00	93.94	165	APX31178.1	heat resistance protein PsiE-GI	NA	NA
P0990_NA_08082021-0	CHNJGF_13470	contig_4	366434	368149	-	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTP	571	571	100.00	92.82	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA
P0990_NA_08082021-0	CHNJGF_13475	contig_4	368153	368593	-	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100.00	94.52	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
P0990_NA_08082021-0	CHNJGF_13485	contig_4	369808	370419	-	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100.00	94.09	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
P0990_NA_08082021-0	CHNJGF_13490	contig_4	370517	371404	-	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100.00	93.90	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
P0990_NA_08082021-0	CHNJGF_13495	contig_4	371507	372421	-	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100.00	96.38	304	APX31172.1	heat resistance protein YfdX1	NA	NA
P0990_NA_08082021-0	CHNJGF_13500	contig_4	372460	372900	-	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	PARTIALP	146	152	82.24	97.60	125	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
P0990_NA_08082021-0	CHNJGF_13515	contig_4	376281	379130	-	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	BLASTP	949	949	100.00	95.47	949	ASF80763.1	heat shock survival AAA family ATPase ClpK	NF033606.1	heat shock survival AAA family ATPase ClpK
