Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
P5690_PCD_11062024-0	OPPHGG_06705	contig_1	1400634	1403483	+	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	BLASTP	949	949	100.00	95.57	949	ASF80763.1	heat shock survival AAA family ATPase ClpK	NF033606.1	heat shock survival AAA family ATPase ClpK
P5690_PCD_11062024-0	OPPHGG_06720	contig_1	1406864	1407304	+	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	PARTIALP	146	152	82.24	97.60	125	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
P5690_PCD_11062024-0	OPPHGG_06725	contig_1	1407343	1408257	+	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100.00	96.38	304	APX31172.1	heat resistance protein YfdX1	NA	NA
P5690_PCD_11062024-0	OPPHGG_06730	contig_1	1408360	1409247	+	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100.00	93.90	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
P5690_PCD_11062024-0	OPPHGG_06735	contig_1	1409345	1409956	+	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100.00	94.09	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
P5690_PCD_11062024-0	OPPHGG_06745	contig_1	1411171	1411611	+	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100.00	94.52	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
P5690_PCD_11062024-0	OPPHGG_06750	contig_1	1411615	1413330	+	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTP	571	571	100.00	92.82	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA
P5690_PCD_11062024-0	OPPHGG_22915	contig_10	45074	46309	+	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	411	399	95.74	74.08	382	WP_000804064.1	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
P5690_PCD_11062024-0	OPPHGG_26195	contig_14	46170	47321	-	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	383	396	95.20	67.46	378	WP_280147732.1	class C beta-lactamase	NF033085.1	class C beta-lactamase
P5690_PCD_11062024-0	OPPHGG_30230	contig_23	37726	38913	+	cml	CmlA/FloR family chloramphenicol efflux MFS transporter	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	395	421	92.40	75.32	389	WP_024160909.1	CmlA/FloR family chloramphenicol efflux MFS transporter	NF033134.0	CmlA/FloR family chloramphenicol efflux MFS transporter
P5690_PCD_11062024-0	OPPHGG_11805	contig_3	8557	9030	+	aac(6')	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	HMM	157	153	96.08	63.95	147	WP_104467712.1	aminoglycoside 6'-N-acetyltransferase	NF043067.1	aminoglycoside 6'-N-acetyltransferase
P5690_PCD_11062024-0	OPPHGG_14010	contig_3	486505	487278	-	aph(3')-II	APH(3')-II family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	HMM	257	256	100.00	58.37	257	WP_034024097.1	APH(3')-II family aminoglycoside O-phosphotransferase	NF032898.2	APH(3')-II family aminoglycoside O-phosphotransferase
