Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
P0303_CF_01022021-0	MAAPJP_04267	contig_135	1493	3208	-	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTP	571	571	100.00	90.72	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA
P0303_CF_01022021-0	MAAPJP_04268	contig_135	3212	3652	-	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100.00	95.21	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
P0303_CF_01022021-0	MAAPJP_04270	contig_135	4867	5478	-	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100.00	94.09	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
P0303_CF_01022021-0	MAAPJP_04271	contig_135	5575	6462	-	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100.00	92.88	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
P0303_CF_01022021-0	MAAPJP_04272	contig_135	6565	7473	-	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	302	304	100.00	91.78	304	APX31172.1	heat resistance protein YfdX1	NA	NA
P0303_CF_01022021-0	MAAPJP_04273	contig_135	7495	7953	-	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	BLASTP	152	152	100.00	98.03	152	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
P0303_CF_01022021-0	MAAPJP_04276	contig_135	11336	14185	-	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	BLASTP	949	949	100.00	95.79	949	ASF80763.1	heat shock survival AAA family ATPase ClpK	NF033606.1	heat shock survival AAA family ATPase ClpK
P0303_CF_01022021-0	MAAPJP_05291	contig_225	5046	6338	+	blaELC	ELC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	430	450	100.00	90.89	450	WP_232734851.1	class C beta-lactamase ELC-2	NF050047.1	ELC family class C beta-lactamase
P0303_CF_01022021-0	MAAPJP_02024	contig_39	13101	13751	+	catB	type B chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	216	210	98.10	81.07	206	WP_063843223.1	type B chloramphenicol O-acetyltransferase	NF000490.1	type B chloramphenicol O-acetyltransferase
P0303_CF_01022021-0	MAAPJP_02265	contig_46	27694	28521	+	blaOXA	OXA-364 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	275	275	100.00	99.27	275	WP_054500785.1	OXA-364 family class D beta-lactamase OXA-789	NF033815.0	OXA-364 family class D beta-lactamase
