Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
SAMEA7025213_ERR4298787	ONDADJ_11960	contig_10	138114	138899	-	aph(3')	APH(3') family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	HMM	261	266	97.74	42.53	261	WP_004861468.1	APH(3') family aminoglycoside O-phosphotransferase	NF033068.1	APH(3') family aminoglycoside O-phosphotransferase
SAMEA7025213_ERR4298787	ONDADJ_13795	contig_13	110817	111176	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	HMM	119	120	99.17	59.66	119	AAA93060.1	arsenite efflux transporter metallochaperone ArsD	NF033727.2	arsenite efflux transporter metallochaperone ArsD
SAMEA7025213_ERR4298787	ONDADJ_14275	contig_14	92316	93143	-	blaOXA-114g	class D beta-lactamase OXA-114g	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_063861000.1	class D beta-lactamase OXA-114g	NF033818.0	OXA-114 family class D beta-lactamase
SAMEA7025213_ERR4298787	ONDADJ_18700	contig_23	25219	26415	-	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	398	399	96.49	61.04	385	WP_000804064.1	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
SAMEA7025213_ERR4298787	ONDADJ_23050	contig_34	12359	13009	-	catB	type B chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	216	210	98.10	80.58	206	WP_063843223.1	type B chloramphenicol O-acetyltransferase	NF000490.1	type B chloramphenicol O-acetyltransferase
SAMEA7025213_ERR4298787	ONDADJ_23910	contig_36	48654	49013	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	HMM	119	120	99.17	59.66	119	AAA93060.1	arsenite efflux transporter metallochaperone ArsD	NF033727.2	arsenite efflux transporter metallochaperone ArsD
SAMEA7025213_ERR4298787	ONDADJ_29495	contig_60	25666	25902	-	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	78	78	100.00	100.00	78	CAA77325.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
SAMEA7025213_ERR4298787	ONDADJ_29500	contig_60	25899	26264	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	121	121	100.00	100.00	121	ABF13034.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
SAMEA7025213_ERR4298787	ONDADJ_29505	contig_60	26282	27967	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	561	561	100.00	98.75	561	AAC38220.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
SAMEA7025213_ERR4298787	ONDADJ_29510	contig_60	28039	28314	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	91	91	100.00	100.00	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
SAMEA7025213_ERR4298787	ONDADJ_29515	contig_60	28327	28677	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	116	116	100.00	93.10	116	CAA70196.1	mercuric transport protein MerT	NA	NA
SAMEA7025213_ERR4298787	ONDADJ_29520	contig_60	28749	29183	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	144	144	100.00	100.00	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
SAMEA7025213_ERR4298787	ONDADJ_09740	contig_7	140516	141796	+	blaELC	ELC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	HMM	426	450	100.00	86.44	450	WP_232734851.1	ELC family class C beta-lactamase	NF050047.1	ELC family class C beta-lactamase
SAMEA7025213_ERR4298787	ONDADJ_31030	contig_74	3205	4101	-	blaAXC-1	carbapenem-hydrolyzing class A beta-lactamase AXC-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	298	298	100.00	100.00	298	WP_020924773.1	carbapenem-hydrolyzing class A beta-lactamase AXC-1	NF033929.1	AXC family carbapenem-hydrolyzing class A beta-lactamase
