Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
P6790_NA_24062024-0	JOOHFA_00589	contig_1	668843	669628	-	aph(3')	APH(3') family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	HMM	261	266	97.74	42.53	261	WP_004861468.1	APH(3') family aminoglycoside O-phosphotransferase	NF033068.1	APH(3') family aminoglycoside O-phosphotransferase
P6790_NA_24062024-0	JOOHFA_00676	contig_1	757075	757509	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	144	144	100.00	100.00	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
P6790_NA_24062024-0	JOOHFA_00677	contig_1	757581	757931	+	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	116	116	100.00	93.97	116	CAA70196.1	mercuric transport protein MerT	NA	NA
P6790_NA_24062024-0	JOOHFA_00678	contig_1	757944	758219	+	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	91	91	100.00	100.00	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
P6790_NA_24062024-0	JOOHFA_00679	contig_1	758291	759976	+	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	561	561	100.00	98.57	561	AAC38220.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
P6790_NA_24062024-0	JOOHFA_00680	contig_1	759994	760359	+	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	121	121	100.00	100.00	121	ABF13034.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
P6790_NA_24062024-0	JOOHFA_00681	contig_1	760356	760592	+	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	78	78	100.00	100.00	78	CAA77325.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
P6790_NA_24062024-0	JOOHFA_00735	contig_2	52286	53512	-	blaELC	ELC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	HMM	408	450	100.00	84.44	450	WP_232734851.1	ELC family class C beta-lactamase	NF050047.1	ELC family class C beta-lactamase
P6790_NA_24062024-0	JOOHFA_00822	contig_2	169435	170262	+	blaOXA-114i	class D beta-lactamase OXA-114i	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_026382828.1	class D beta-lactamase OXA-114i	NF033818.0	OXA-114 family class D beta-lactamase
P6790_NA_24062024-0	JOOHFA_03186	contig_6	319966	320253	+	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	HMM	95	91	100.00	69.47	95	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
P6790_NA_24062024-0	JOOHFA_03187	contig_6	320264	321952	+	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	HMM	562	562	100.00	81.85	562	CAC69251.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
P6790_NA_24062024-0	JOOHFA_03741	contig_8	89911	91107	-	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	398	399	96.49	61.04	385	WP_000804064.1	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
P6790_NA_24062024-0	JOOHFA_04077	contig_9	108138	108788	-	catB	type B chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	216	210	98.10	81.07	206	WP_063843223.1	type B chloramphenicol O-acetyltransferase	NF000490.1	type B chloramphenicol O-acetyltransferase
